,SPY
,close
time,
2019-03-28 00:00:00-04:00,280.79
2019-03-29 00:00:00-04:00,282.62
2019-04-01 00:00:00-04:00,285.89
2019-04-02 00:00:00-04:00,285.98
2019-04-03 00:00:00-04:00,286.52
2019-04-04 00:00:00-04:00,287.22
2019-04-05 00:00:00-04:00,288.62
2019-04-08 00:00:00-04:00,288.81
2019-04-09 00:00:00-04:00,287.305
2019-04-10 00:00:00-04:00,288.29
2019-04-11 00:00:00-04:00,288.23
2019-04-12 00:00:00-04:00,290.19
2019-04-15 00:00:00-04:00,289.99
2019-04-16 00:00:00-04:00,290.1705
2019-04-17 00:00:00-04:00,289.48
2019-04-18 00:00:00-04:00,290.02
2019-04-22 00:00:00-04:00,290.31
2019-04-23 00:00:00-04:00,292.85
2019-04-24 00:00:00-04:00,292.23
2019-04-25 00:00:00-04:00,292.08
2019-04-26 00:00:00-04:00,293.44
2019-04-29 00:00:00-04:00,293.78
2019-04-30 00:00:00-04:00,293.96
2019-05-01 00:00:00-04:00,291.84
2019-05-02 00:00:00-04:00,291.27
2019-05-03 00:00:00-04:00,294.02
2019-05-06 00:00:00-04:00,292.87
2019-05-07 00:00:00-04:00,288.04
2019-05-08 00:00:00-04:00,287.56
2019-05-09 00:00:00-04:00,286.75
2019-05-10 00:00:00-04:00,288.03
2019-05-13 00:00:00-04:00,280.9905
2019-05-14 00:00:00-04:00,283.33
2019-05-15 00:00:00-04:00,285.06
2019-05-16 00:00:00-04:00,287.63
2019-05-17 00:00:00-04:00,285.9
2019-05-20 00:00:00-04:00,283.97
2019-05-21 00:00:00-04:00,286.49
2019-05-22 00:00:00-04:00,285.62
2019-05-23 00:00:00-04:00,282.27
2019-05-24 00:00:00-04:00,282.8
2019-05-28 00:00:00-04:00,280.31
2019-05-29 00:00:00-04:00,278.38
2019-05-30 00:00:00-04:00,279.05
2019-05-31 00:00:00-04:00,275.37
2019-06-03 00:00:00-04:00,274.54
2019-06-04 00:00:00-04:00,280.52
2019-06-05 00:00:00-04:00,282.9
2019-06-06 00:00:00-04:00,284.74
2019-06-07 00:00:00-04:00,287.63
2019-06-10 00:00:00-04:00,288.9305
2019-06-11 00:00:00-04:00,288.89
2019-06-12 00:00:00-04:00,288.36
2019-06-13 00:00:00-04:00,289.65
2019-06-14 00:00:00-04:00,289.19
2019-06-17 00:00:00-04:00,289.44
2019-06-18 00:00:00-04:00,292.29
2019-06-19 00:00:00-04:00,293.05
2019-06-20 00:00:00-04:00,295.84
2019-06-21 00:00:00-04:00,294.08
2019-06-24 00:00:00-04:00,293.64
2019-06-25 00:00:00-04:00,290.79
2019-06-26 00:00:00-04:00,290.47
2019-06-27 00:00:00-04:00,291.54
2019-06-28 00:00:00-04:00,293.1
2019-07-01 00:00:00-04:00,295.61
2019-07-02 00:00:00-04:00,296.46
2019-07-03 00:00:00-04:00,298.76
2019-07-05 00:00:00-04:00,298.36
2019-07-08 00:00:00-04:00,296.86
2019-07-09 00:00:00-04:00,297.26
2019-07-10 00:00:00-04:00,298.61
2019-07-11 00:00:00-04:00,299.3
2019-07-12 00:00:00-04:00,300.68
2019-07-15 00:00:00-04:00,300.76
2019-07-16 00:00:00-04:00,299.74
2019-07-17 00:00:00-04:00,297.77
2019-07-18 00:00:00-04:00,298.85
2019-07-19 00:00:00-04:00,297.12
2019-07-22 00:00:00-04:00,297.92
2019-07-23 00:00:00-04:00,299.96
2019-07-24 00:00:00-04:00,301.38
2019-07-25 00:00:00-04:00,299.9702
2019-07-26 00:00:00-04:00,301.99
2019-07-29 00:00:00-04:00,301.48
2019-07-30 00:00:00-04:00,300.82
2019-07-31 00:00:00-04:00,297.38
2019-08-01 00:00:00-04:00,294.88
2019-08-02 00:00:00-04:00,292.76
2019-08-05 00:00:00-04:00,284.04
2019-08-06 00:00:00-04:00,287.77
2019-08-07 00:00:00-04:00,288.03
2019-08-08 00:00:00-04:00,293.55
2019-08-09 00:00:00-04:00,291.59
2019-08-12 00:00:00-04:00,288.1
2019-08-13 00:00:00-04:00,292.43
2019-08-14 00:00:00-04:00,283.92
2019-08-15 00:00:00-04:00,284.69
2019-08-16 00:00:00-04:00,288.87
2019-08-19 00:00:00-04:00,292.32
2019-08-20 00:00:00-04:00,290.05
2019-08-21 00:00:00-04:00,292.43
2019-08-22 00:00:00-04:00,292.31
2019-08-23 00:00:00-04:00,284.81
2019-08-26 00:00:00-04:00,287.97
2019-08-27 00:00:00-04:00,286.84
2019-08-28 00:00:00-04:00,288.83
2019-08-29 00:00:00-04:00,292.56
2019-08-30 00:00:00-04:00,292.46
2019-09-03 00:00:00-04:00,290.77
2019-09-04 00:00:00-04:00,293.97
2019-09-05 00:00:00-04:00,297.82
2019-09-06 00:00:00-04:00,298.07
2019-09-09 00:00:00-04:00,298.15
2019-09-10 00:00:00-04:00,298.2
2019-09-11 00:00:00-04:00,300.29
2019-09-12 00:00:00-04:00,301.27
2019-09-13 00:00:00-04:00,301.05
2019-09-16 00:00:00-04:00,300.16
2019-09-17 00:00:00-04:00,300.94
2019-09-18 00:00:00-04:00,301.1
2019-09-19 00:00:00-04:00,301.06
2019-09-20 00:00:00-04:00,298.13
2019-09-23 00:00:00-04:00,298.25
2019-09-24 00:00:00-04:00,295.81
2019-09-25 00:00:00-04:00,297.6
2019-09-26 00:00:00-04:00,296.97
2019-09-27 00:00:00-04:00,295.36
2019-09-30 00:00:00-04:00,296.83
2019-10-01 00:00:00-04:00,293.21
2019-10-02 00:00:00-04:00,288.04
2019-10-03 00:00:00-04:00,290.37
2019-10-04 00:00:00-04:00,294.37
2019-10-07 00:00:00-04:00,293.11
2019-10-08 00:00:00-04:00,288.55
2019-10-09 00:00:00-04:00,291.23
2019-10-10 00:00:00-04:00,293.24
2019-10-11 00:00:00-04:00,296.26
2019-10-14 00:00:00-04:00,296.01
2019-10-15 00:00:00-04:00,298.9
2019-10-16 00:00:00-04:00,298.41
2019-10-17 00:00:00-04:00,299.24
2019-10-18 00:00:00-04:00,297.98
2019-10-21 00:00:00-04:00,300.05
2019-10-22 00:00:00-04:00,299.03
2019-10-23 00:00:00-04:00,299.86
2019-10-24 00:00:00-04:00,300.42
2019-10-25 00:00:00-04:00,301.64
2019-10-28 00:00:00-04:00,303.36
2019-10-29 00:00:00-04:00,303.2
2019-10-30 00:00:00-04:00,304.14
