date,close,volume,open,high,low
11/2/2016,209.74,103330806,210.65,211.1,209.23
11/3/2016,208.78,88939346,209.99,210.24,208.46
11/4/2016,208.55,109122059,208.91,209.89,208.38
11/7/2016,213.15,109794861,211.45,213.19,211.3
11/8/2016,214.11,106772138,212.69,214.77,212.38
11/9/2016,216.3791875,258428972,212.37,217.1,212.34
11/10/2016,216.92,172113313,217.3,218.31,215.22
11/11/2016,216.42,100552732,216.08,216.7,215.32
11/14/2016,216.59,94579982,217.03,217.27,215.72
11/15/2016,218.28,91652580,217.04,218.28,216.8
11/16/2016,217.87,65617697,217.56,218.14,217.42
11/17/2016,218.99,69797191,218.05,219.06,217.92
11/18/2016,218.5,86265751,219.07,219.27,218.29
11/21/2016,220.15,72402638,219.17,220.18,219
11/22/2016,220.58,67428957,220.51,220.79,219.73
11/23/2016,220.7,56620237,219.98,220.76,219.75
11/25/2016,221.52,37872255,221.1,221.56,221.01
11/28/2016,220.48,76572511,221.16,221.48,220.36
11/29/2016,220.91,69886690,220.52,221.44,220.17
11/30/2016,220.38,113291793,221.63,221.82,220.31
12/1/2016,219.57,79040487,220.73,220.73,219.15
12/2/2016,219.68,74840347,219.67,220.25,219.26
12/5/2016,221,67837821,220.65,221.4,220.42
12/6/2016,221.7,59877377,221.22,221.744125,220.662
12/7/2016,224.6,110738050,221.52,224.67,221.38
12/8/2016,225.15,99714387,224.57,225.7,224.26
12/9/2016,226.51,88005766,225.41,226.53,225.37
12/12/2016,226.25,102016125,226.4,226.96,225.76
12/13/2016,227.76,110477485,227.02,228.34,227
12/14/2016,225.88,142501812,227.41,228.23,225.365
12/15/2016,226.81,124972554,226.16,227.81,225.890375
12/16/2016,225.04,156420152,226.01,226.08,224.67
12/19/2016,225.53,90341147,225.24,226.02,225.08
12/20/2016,226.4,89838810,226.16,226.57,225.88
12/21/2016,225.77,67909039,226.25,226.45,225.77
12/22/2016,225.38,56219071,225.6,225.74,224.92
12/23/2016,225.71,36697822,225.43,225.72,225.21
12/27/2016,226.27,42672487,226.02,226.73,226
12/28/2016,224.4,64095014,226.57,226.59,224.27
12/29/2016,224.35,48696080,224.48,224.89,223.84
12/30/2016,223.53,108998328,224.73,224.83,222.73
1/3/2017,225.24,91366522,225.04,225.83,223.8836875
1/4/2017,226.58,78744433,225.62,226.75,225.61
1/5/2017,226.4,78379012,226.27,226.58,225.48
1/6/2017,227.21,71559922,226.53,227.75,225.9
